screenshot_id,module,page_name,baseline_path,current_path,page_opened,layout_issue_remaining,misleading_enabled_button_seen,formal_result_report_export_seen,ui_b10_ready,notes
dashboard_home,Dashboard,Dashboard / 工作台,docs/ui/runtime_screenshots/20260524/dashboard_home.png,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/dashboard_home.png,true,true,false,false,false,"Usable source runtime page; still needs visual product review before UI-B10."
labtools_home,LabTools,LabTools 首页,docs/ui/runtime_screenshots/20260524/labtools_home.png,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/labtools_home.png,true,false,false,false,false,"Three-entry IA remains stable; visual review still required."
labtools_general_calculator,LabTools,通用计算器,docs/ui/runtime_screenshots/20260524/labtools_general_calculator.png,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/labtools_general_calculator.png,true,true,false,false,false,"General calculator renders; still dense and should be manually reviewed against mockup."
labtools_reagent_preparation,LabTools,试剂制备,docs/ui/runtime_screenshots/20260524/labtools_reagent_preparation.png,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/labtools_reagent_preparation.png,true,true,false,false,false,"C5d reduced horizontal pressure; page remains information-dense."
labtools_wb_loading,LabTools,WB Loading,docs/ui/runtime_screenshots/20260524/labtools_wb_loading.png,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/labtools_wb_loading.png,true,true,false,false,false,"C5d reduced column count; WB page remains dense and warning-heavy."
labtools_experiment_boundaries,LabTools,实验模块边界页,docs/ui/runtime_screenshots/20260524/labtools_experiment_boundaries.png,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/labtools_experiment_boundaries.png,true,false,false,false,false,"Boundary page renders with disabled/shell-only semantics preserved."
bioinformatics_project_home,Bioinformatics,Project Home / 项目首页,docs/ui/runtime_screenshots/20260524/bioinformatics_project_home.png,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/bioinformatics_project_home.png,true,false,false,false,false,"Project Home remains gated and readable; product review still required."
bioinformatics_data_source,Bioinformatics,Data Source / 数据来源,docs/ui/runtime_screenshots/20260524/bioinformatics_data_source.png,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/bioinformatics_data_source.png,true,false,false,false,false,"Data Source remains four-source gated shell; no formal acquisition enabled."
bioinformatics_analysis_tasks,Bioinformatics,Analysis Tasks / 分析任务,docs/ui/runtime_screenshots/20260524/bioinformatics_analysis_tasks.png,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/bioinformatics_analysis_tasks.png,true,true,false,false,false,"C5e added gated page markers; page remains table-heavy."
bioinformatics_result_export,Bioinformatics,Report Export / 报告导出,docs/ui/runtime_screenshots/20260524/bioinformatics_result_export.png,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/bioinformatics_result_export.png,true,false,false,false,false,"Misleading open-report affordances were gated in C5e; export remains disabled."
meta_project_home,Meta Analysis,Meta Project Home,docs/ui/runtime_screenshots/20260524/meta_project_home.png,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/meta_project_home.png,true,false,false,false,false,"C5c Workbench skeleton removes original overlap; visual product review still required."
meta_question_type,Meta Analysis,Question & Meta Type,docs/ui/runtime_screenshots/20260524/meta_question_type.png,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/meta_question_type.png,true,false,false,false,false,"Network Meta remains disabled; question/type page uses stable shell."
meta_search_strategy,Meta Analysis,Search Strategy,docs/ui/runtime_screenshots/20260524/meta_search_strategy.png,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/meta_search_strategy.png,true,false,false,false,false,"English-first draft search page renders; no Chinese DB direct retrieval."
meta_screening_extraction,Meta Analysis,Screening / Extraction representative,docs/ui/runtime_screenshots/20260524/meta_screening_extraction.png,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/meta_screening_extraction.png,true,true,false,false,false,"Extraction remains dense; no automatic extraction or final inclusion enabled."
meta_result_export,Meta Analysis,Result / Export Gate,docs/ui/runtime_screenshots/20260524/meta_result_export.png,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/meta_result_export.png,true,false,false,false,false,"Export gate remains disabled; no pooled effect or report-ready package."
settings_home,Settings,Settings / 设置中心,docs/ui/runtime_screenshots/20260524/settings_home.png,docs/ui/runtime_screenshots/20260525_c5g_runtime_review/settings_home.png,true,false,false,false,false,"C5f moved detailed diagnostics out of first viewport; external capability gates unchanged."
